,Unnamed: 0,predicted gender,correct,sentence_text,profession,g,g_first_index,profession_first_index,stereotype,corpus,data_index,distance,num_of_pronouns
53,14009,Female,1,"Linda , the obese child in Blubber , was ridiculed by her peers .",child,her,11,4,-1,pubmed,1,7,1
54,45655,Male,1,"Hugh Richard Louis Grosvenor is the third child and only son of Gerald Grosvenor , 6th Duke of Westminster , and his wife Natalia ( "" nÃ©e "" Phillips ) .",child,his,21,7,1,wikipedia,20,14,1
57,157770,Male,1,The end of the Scarborough MS states that it was certified at Scarborough on 10 July 1705 and is signed by the president and his officers .,president,his,24,22,1,wikipedia,20,2,1
58,75159,Female,1,It is loosely based on the lives of the author and her three sisters .,author,her,11,9,1,wikipedia,20,2,1
59,128176,Male,1,"The director of the film , Vidhu Vinod Chopra , wanted an innocent voice for the song when he roped Chauhan to sing for Preity Zinta .",director,he,18,1,1,wikipedia,16,17,1
60,12642,Male,1,"Against the background of the 100th anniversary of his birth the author traces Kronfeld 's psychotherapeutic career , pointing out his activity at the Berliner "" Institute of Sexual Research "" under Magnus Hirschfeld , and his psychotherapeutic concept -- the psychagogic guidance of the patient -- and its connection with the individual psychology of Alfred Adler .",author,his,20,11,-1,pubmed,17,9,3
61,323076,Male,1,"Born in Darmstadt , BÃ¼rger , son of two teachers and five years younger than his brother the actor and theater director Lars BÃ¼rger , spent his childhood and youth in Rodgau near Frankfurt am Main .",director,his,15,21,1,wikipedia,6,6,2
63,104607,Female,1,The film follows an affair between a high school teacher and her student .,teacher,her,11,9,1,wikipedia,20,2,1
68,3,Female,1,Patient A took several antibacterial drugs because she had an infection and had fever and increased CRP ( 70.61 mg/L ) .,patient,she,7,0,0,covid19,5,7,1
69,191572,Male,1,"The first Count of Malta was Margerito de Brindisi , a sailor of Greek descent or origin from the city of Brindisi ( south Italy ) , who was granted the fief by Tancred of Lecce then King of Sicily , for his service as admiral for the Kingdom , known at the time as ammiratus ammiratorum , in 1192 , perhaps for his unexpected success in capturing Empress Constance the contender for Sicilian crown against Tancred .",sailor,his,63,11,1,wikipedia,1,52,2
71,1553,Male,1,The sailor is leaving his home city of ValparaÃ­so to journey the world with a crew of dead sailors .,sailor,his,4,1,1,wikipedia,21,3,1
73,67004,Male,1,British pop singer David McAlmont interpolated the chorus into his 1999 single,singer,his,9,2,1,wikipedia,15,7,1
74,4094,Male,1,"A 70-year-old patient with gastrointestinal cancer obstructing his intestinal tract , who is receiving total parenteral nutrition through a central intravenous catheter is being prepared for his discharge from hospital .",patient,his,26,2,0,pubmed,6,24,2
75,1104,Female,1,The patient was a 35-year-old female complaining of a discolored and unaesthetic appearance of her upper front tooth .,patient,her,14,1,0,pubmed,14,13,1
78,10126,Female,1,"A low probability of the patient forming her own immune response became the argument for starting therapy with hyperimmune SARS-CoV-2 convalescent plasma in combination with other therapeutic options , despite the lack of published data on similar experiences in the pediatric cohort .",patient,her,7,5,0,covid19,17,2,1
79,110853,Female,1,"After her husband , James H. Binger 's death in 2004 , producer and president of Jujamcyn Rocco Landesman announced that he planned to buy Jujamcyn .",producer,her,1,12,-1,wikipedia,14,11,2
80,2868,Male,1,"The postoperative course of the patient was uneventful , and he was discharged on the postoperative day 2 .",patient,he,10,5,0,pubmed,9,5,1
82,496970,Male,1,"The architect has been described by his biographer Doris Hulse , as "" talented , cultured , eccentric , flamboyant , practical , difficult , opinionated , generous , temperamental , considerate , gentleman farmer , man - about - town "" , and a number of his works are widely known today .",architect,his,6,1,1,wikipedia,6,5,2
84,51340,Male,1,"On 2nd of August 2018 , the author launched his second novel : The Nucle Saga II alongside the chief guest",author,his,9,7,-1,wikipedia,21,2,1
85,7932,Male,1,Other potential causes of renal failure were not present in our patient and his renal function gradually recovered with the cessation of suramin treatment .,patient,his,13,11,0,pubmed,20,2,1
87,22832,Male,1,The author is strongly connected with his home region of Silesia and personally is a supporter of Ruch ChorzÃ³w football club .,author,his,6,1,-1,wikipedia,6,5,1
88,1186,Female,1,"However , the personal care assistant responsible for giving her medication each morning ( a different health professional , not the one in charge of coordination and treatment plan ) noted that she had to wake her up more often when visiting .",assistant,she,32,5,1,covid19,4,27,3
90,48442,Male,1,The author exposes his thoughts on deinstitutionalization and the place of rehabilitation of the chronic mentally ill .,author,his,3,1,-1,pubmed,17,2,1
91,53,Female,1,"We present a patient who is unique because she had a lesion which was the largest ever recorded , and which existed over twice as long as any previously described .",patient,she,8,3,0,pubmed,5,5,1
92,100373,Male,1,"This was later confirmed in the Tenth Doctor episode `` Planet of the Ood '' , in which the Doctor visits the Ood ' s homeworld -LRB- the Ood-Sphere -RRB- and mentions that he once visited the Sense-Sphere in the same system .",doctor,he,33,19,1,wikipedia,4,14,1
94,70945,Male,1,"In his influential work "" The Wealth of Nations "" ( 1776 ) , economist Adam Smith comments that standing armies are a sign of modernizing society , as modern warfare requires the increased skill and discipline of regularly trained standing armies .",economist,his,1,14,1,wikipedia,15,13,1
96,11864,Male,1,"His friend , John Edwards , and his son , William Garrard , were both in the state senate and kept him abreast of issues there .",friend,his,7,1,0,wikipedia,20,6,2
97,9518,Male,1,"A fellow officer named Syd Pepper , who had seen action during the Battle of the Somme in 1916 , had convinced Vaughan to join the 1/8th battalion of the regiment and he acquired the sole remaining vacancy .",officer,he,32,2,1,wikipedia,11,30,1
98,189995,Male,1,"Vysotsky ' s father said that `` War veterans thought the author of the songs to be one of them , as if he had participated in the war together with them .",author,he,23,11,-1,wikipedia,2,12,1
99,282,Female,1,Conflict of interest The author declares that she has no confict of interest .,author,she,7,4,1,covid19,4,3,1
0,2267,Male,1,"In the development of psychoanalytic technique , the analyst has changed from a "" tactile presence "" to a "" visual presence , "" then finally , with the analyst positioning himself behind the couch , to an "" auditory presence .",analyst,himself,31,29,1,pubmed,3,2,1
2,202926,Male,1,"A farmer himself , Winter earned a reputation as a strong advocate for farmers and agricultural issues during his time in office .",farmer,his,18,1,1,wikipedia,14,17,2
3,27181,Male,1,"After a few minutes deliberation , the chief , American Horse , a fine looking , broad - chested Sioux , with a handsome face and a neck like a bull , showed himself at the mouth of the cave , presenting the butt end of his rifle toward the General .",chief,himself,33,7,1,wikipedia,3,26,2
4,59249,Female,1,The patient was able to self-monitor her personal health status via blood sugar level and conduct personal healthcare maintenance work .,patient,her,6,1,0,pubmed,17,5,1
6,17551,Male,1,Hill 's single division met this large force with the impetuous courage for which that officer and his troops were distinguished .,officer,his,18,16,1,perseus,20,2,1
7,12571,Female,1,"Since the family members felt extremely embarrassed , they were upset and angry with the patient which , in turn , increased her depressive symptoms .",patient,her,22,15,0,pubmed,17,7,1
8,43898,Male,1,The patient underwent successful treatment of his complicated hepatic hydatid cysts with pericystectomy and repair of a biliary fistula .,patient,his,6,1,0,pubmed,17,5,1
9,241984,Female,1,"At least one student who was pepper - sprayed was also put on her stomach by police , hog - tied and placed in handcuffs , which was a clear violation of CSU 's own policies .",student,her,13,3,1,wikipedia,1,10,1
10,33143,Male,1,"Wehr , an undergraduate at the time , happily accepted the opportunity to serve as a stand - in music composition tutor for Tobey and over time became friends with him and his circle of artists , becoming a painter himself , as well as a chronicler of the group .",painter,himself,40,39,1,wikipedia,10,1,2
13,29903,Female,1,Because of personal preference the patient suckled her child from the right breast only .,patient,her,7,5,0,pubmed,17,2,1
15,46257,Male,1,"On 16 May , former Hemel Hempstead Town manager Danny Nicholls was appointed as his successor .",manager,his,14,8,1,wikipedia,1,6,1
16,35974,Male,1,"Nirad C. Chaudhuri ( 1897â€“1999 ) , a writer of non - fiction , is best known for his "" The Autobiography of an Unknown Indian "" ( 1951 ) , in which he relates his life experiences and influences .",writer,his,18,8,-1,wikipedia,1,10,3
17,214675,Male,1,"Based on their statements given to the local police , the Central Bureau of Investigation was asked to seek an Interpol Red - corner notice for the arrest of Saudi Arabia based engineer Fasih Mahmood , who had been sought by India for his alleged role in the bomb attacks at the cricket stadium .",engineer,his,43,32,1,wikipedia,1,11,1
18,1211,Male,1,"The morning was an ideal spring morning , and the writer had often thought the most inspiring sight ever brought before him he saw there that moring .",writer,he,22,10,-1,perseus,4,12,1
19,29558,Male,1,"Meanwhile , Lem was forced to abandon Vic 's original plans for hiding him after he risked his freedom to help out a young child who had been left alone by his parents and had seriously hurt himself in his home 's kitchen .",child,himself,37,24,1,wikipedia,3,13,5
20,95760,Female,1,"User is chronic editor of Morgellons page , and has admitted on talk page and other public forums that she is a volunteer for the advocacy group , the Morgellons Research Foundation , itself a major subject of the article being edited .",user,she,19,0,0,wikipedia,4,19,1
21,3868,Male,1,One patient had infiltrating ureteral carcinoma and he is well 8 years after cystectomy .,patient,he,7,1,0,pubmed,11,6,1
22,63314,Male,1,Recently a professor at Osaka University in Japan unveiled what he calls a working cold fusion reactor .,professor,he,10,2,1,wikipedia,4,8,1
23,68521,Male,1,The astronomer Raphael Levi Hannover was a bookkeeper in his firm .,astronomer,his,9,1,1,wikipedia,15,8,1
24,33937,Female,1,A female university student in need of financial resources to pay for her education can not make an autonomous choice to trade her genes for tuition .,student,her,22,3,1,pubmed,17,19,2
25,67984,Male,1,"Skarloey Gets a Scare Skarloey 's driver leaves his tea mug , his sandwiches and his torch behind at the sheds .",driver,his,9,7,1,wikipedia,21,2,3
26,55136,Male,1,Coach Stiehm returned for his third year after earning conference championships in both of his previous seasons .,coach,his,4,0,1,wikipedia,15,4,2
27,99436,Male,1,"This user has shown that he will use admin tools helpfully in q1 , and he is definitely civil .",user,he,5,1,0,wikipedia,4,4,2
28,131752,Male,1,"A student and friend of Marceli Handelsman , Manteuffel dedicated his life to history - as a student , teacher , scholar and activist .",student,his,10,1,-1,wikipedia,21,9,1
29,92192,Male,1,47 was then made a full agent of ICA and Diana was assigned as his handler .,agent,his,14,6,-1,wikipedia,6,8,1
30,34,Male,1,The patient remained neurologically stable with his baseline right ophthalmoplegia and V1-V2 hemianesthesia .,patient,his,6,1,0,pubmed,14,5,1
32,38809,Male,1,An informed consent has been obtained from the patient and his guardians .,patient,his,10,8,0,pubmed,20,2,1
33,20132,Male,1,"( meaning "" Killer of the Past "" ) , was a Greek musician and rapper , notable for his participation and performance in musical projects , as well as for his anti - fascist activism .",musician,his,31,13,1,wikipedia,20,18,2
34,64015,Male,1,"Moreover , the user can set his preferences and the appliances are auto turned off and on to meet user-specific requirements .",user,his,6,3,0,pubmed,17,3,1
35,86115,Male,1,"The casting has also marked a history for Ãnima Estudios , to which producer and company COO JosÃ© C. GarcÃ­a de Letona has shared his excitement .",producer,his,24,13,1,wikipedia,21,11,1
36,53418,Male,1,"In the early 21st century , Piedmont wine producer Michele Chiarlo added a hectare of the grape to his vineyard and began producing a varietal Albarossa under the Monferrato DOC in 2006 .",producer,his,18,8,1,wikipedia,15,10,1
38,105894,Male,1,"Following his retirement in January 2014 , the editor became Bob Gilmore .",editor,his,1,8,1,wikipedia,14,7,1
39,12421,Female,1,"At age 3 years and 9 months , the child developed sepsis and acute deterioration of her encephalopathy leading to death .",child,her,16,9,-1,pubmed,17,7,1
40,63446,Male,1,"In his poem "" Li Sao "" , author Qu Yuan describes an aerial crossing of the Moving ( or Flowing ) Sands on a shamanic spiritual Journey to Kunlun . """,author,his,1,8,-1,wikipedia,15,7,1
41,2286,Male,1,"As a consequence , the patient had a significant improvement of his symptom , as well as a gradually resolution of consolidation .",patient,his,11,5,0,covid19,17,6,1
42,17334,Female,1,One patient who previously had a biliary bypass underwent further resection of her cyst and Whipple 's operation because of development of cholangiocarcinoma in the distal remnant cyst .,patient,her,12,1,0,pubmed,17,11,1
43,2862,Male,1,"Using free Open Broadcast Software , the professor created a recording with multiple screens potentially showing his face , video of his lab as he completed steps , his slide presentation , and iPad whiteboard notes at the same time .",professor,his,16,7,1,covid19,17,9,4
45,113174,Male,1,"After his death in 1820 , the town received its first post office ; since "" Bloomfield "" was preempted by another community , the postmaster named his station after Sharp , and the town was established and incorporated under this new name .",postmaster,his,27,25,0,wikipedia,21,2,2
47,144532,Male,1,"Shortly after the album 's release , controversy unsurprisingly erupted in a variety of forms , most notably a petrol station attendant being fired from his job after it was discovered that he owned a copy of the album ( Cook testified at the man 's industrial tribunal ) , and a distributor of talking books accidentally sending out copies of "" Come Again "" on cassette in cases intended for the children 's classic "" Black Beauty "" .",attendant,his,25,21,0,wikipedia,1,4,2
49,173105,Male,1,"The president may also effectively withhold his assent as per his own discretion , which is known as pocket veto .",president,his,6,1,1,wikipedia,21,5,2
50,201325,Male,1,"Author David Foster Wallace was also mixed in his review as he heavily criticized the work as overly pretentious but commented that the novel was "" not without some cool sections "" .",author,his,8,0,-1,wikipedia,1,8,2
51,12334,Female,1,""" Dimestore : A Writer â€™s Life "" published in 2016 is the story of her life in Grundy and beyond .",writer,her,15,4,1,wikipedia,15,11,1
52,841,Male,1,"Stormont , the English ambassador to Paris , hurried to Vergennes to demand that the captain , with his crews , cargoes , and ships , should be given up .",captain,his,19,16,1,perseus,6,3,1
55,11555,Male,1,"coming up in the midst of the altercation between the agent and his men , declared that the fires should not be extinguished , that the train should leave in spite of the agent , and after cursing and using much bitter language towards the latter had him arrested and kept in custody by a guard .",agent,his,12,10,-1,perseus,20,2,1
56,64164,Male,1,"At a political retreat in 2003 , Tumukunde , in the presence of the president and his cabinet , argued against the impending removal of term limits that would give President Museveni the right to stand for re - election on an infinite basis .",president,his,16,14,1,wikipedia,20,2,1
57,7384,Male,1,"Sometimes it happens that after praying or completing a benevolent exercise , the person finds himself in a kind spiritual disposition and therefore , is amenable to his brother and does n't get annoyed over his words .",person,himself,15,13,-1,wikipedia,3,2,3
58,166654,Male,1,"However , his lawyer , Mohamed Shaheem Ali Saeed , a Maldivian Islamic scholar infamous for his illicit relations with women facilitated his release .",lawyer,his,22,3,1,wikipedia,21,19,3
60,149376,Male,1,Faruk GÃ¼rler the chief of staff resigned from his post on 5 March to enter the parliament as a member of the upper house .,chief,his,8,3,1,wikipedia,14,5,1
61,50573,Female,1,"Kempamma married a tailor , but was abandoned by her husband in 1998 .",tailor,her,9,3,1,wikipedia,6,6,1
62,41034,Male,1,The pilot had warned the crew earlier of the possibility of bailout and he now alerted them to prepare for bailout .,pilot,he,13,1,1,wikipedia,11,12,1
64,36652,Male,1,"In view of the risk of infection of the dentist and his staff in the dental surgery and dental laboratory and also of the patient with regard to hepatitis B and potentially also of AIDS , interruption of possible chains of infection by means of specific disinfection measures is to be demanded .",dentist,his,11,9,1,pubmed,20,2,1
65,148436,Male,1,"In 1739â€“1740 , during the Lent circuit of the assizes , Sir Lancelot Allgood , who held positions high sheriff and Member of Parliament sent a message to the Black Bull that the visiting judge and his party would want six bottles of good French wine , and that John Cook should order them in .",judge,his,36,34,1,wikipedia,20,2,1
66,61739,Male,1,"The project ended up taking the artist and his son two years to complete , and it was unveiled on 17 April 2009 .",artist,his,8,6,1,wikipedia,20,2,1
67,27472,Male,1,A taxi driver testified that he had driven Stuart to the murder scene on the afternoon of the crime .,driver,he,5,2,1,wikipedia,4,3,1
69,178722,Female,1,"On March 29 , via her official Twitter account the singer confirmed that "" Needed Me """,singer,her,5,10,-1,wikipedia,14,5,1
70,14428,Male,1,"The Doctor and his allies are brought before the Lady Hakai , but the gravity goes off as she orders the Doctor to set up a duel between Leela and Keefer .",doctor,his,3,1,1,wikipedia,20,2,2
71,14658,Male,1,including by the artist himself .,artist,himself,4,3,1,wikipedia,10,1,1
72,45084,Male,1,"A few years earlier in 2010 , this Cuban musician from HolguÃ­n had distinguished himself as the Danish act with the most foreign presentations , including concerts in Spain , USA , Germany , Poland , Finland , Cuba , Italy , Sweden and Norway .",musician,himself,14,9,1,wikipedia,3,5,1
76,299579,Male,1,The director was praised for his mature handling of the theme and for his realistic portrayal of Goans involved in the tourism industry and also his depiction of the way of life of Goan Christians .,director,his,13,1,1,wikipedia,6,12,3
77,14056,Male,1,"In 2006 , NBR created the Kenneth B. and Anne H.H. Pyle Center for Northeast Asian Studies , named in honor of NBR â€™s founding president and his wife .",president,his,27,25,1,wikipedia,20,2,1
79,22246,Male,1,"Although he had a very brief career as a Jesuit novice -LRB- 1671-73 -RRB- , Domenico was never ordained a priest ; he married sometime after 1686 and had three children .",priest,he,1,20,1,wikipedia,2,19,2
80,54148,Male,1,The author places his research in the frame of the systematisation of the Freudian theory of substitute formations in the preconscious .,author,his,3,1,-1,pubmed,17,2,1
81,153885,Male,1,"Watching the gay dancer and his female partner dance to the music of "" Sexy Night "" , Mark hallucinates her being Maira and experiences another fit of genital pain .",dancer,his,5,3,-1,wikipedia,20,2,2
82,105448,Male,1,"She studied under the Bolognese artist and master engraver Marcantonio Raimondi , who is best known today for his engravings after paintings by Raphael .",artist,his,18,5,1,wikipedia,1,13,2
83,4174,Male,1,"On the road to Harper 's Ferry , after the Antietam campaign in 1862 , the colored cook of the headquarters of the Sixtieth New York Regiment picked up a large and respectable looking mule , to whom , with a cook 's usual foresight and ambition , he attached all the paraphernalia of the cook - house together with his own personal belongings , and settled himself down proudly on his back among them .",cook,himself,69,19,1,perseus,3,50,4
84,116314,Male,1,"By the time of Nicholas Monsarrat 's 1951 war novel , "" The Cruel Sea "" , however , the upper - class junior officer , Morell , is teased by his middle - class peer , Lockhart , for using such a phrase .",officer,his,31,24,1,wikipedia,1,7,1
85,91427,Male,1,"The president , Paul Benthien , agreed on the condition that he also became general manager .",president,he,11,1,1,wikipedia,4,10,1
86,64892,Male,1,"A patient being treated by Dr Hira dies due to his negligence , but he saves his skin by firing the nurse .",patient,his,10,1,0,wikipedia,14,9,3
87,104152,Male,1,"The Australian captain advised his bowler to ensure that his foot was further behind the line than usual to avoid being no - balled , and to operate below full speed until the umpires were satisfied .",captain,his,4,2,1,wikipedia,21,2,2
88,70497,Male,1,"journalist Tommy Lapid ( later made a political career out of his "" stardom "" as "" panelist "" of the show ) , journalist Amnon Dankner , and Haredi journalist Yisrael Eichler ( also later made a political career out of his "" panelist "" role ) .",journalist,his,42,30,-1,wikipedia,15,12,2
89,1377,Male,1,The author claimed that he had written the book at the request of family members .,author,he,4,1,-1,pubmed,4,3,1
90,65021,Female,1,"In 1938 Mrs. Maria Mendoza a friend of Master Santiago Martinez Delgado invited him and his wife Leonor Concha de Martinez , to her home in BogotÃ¡ .",friend,her,23,6,0,wikipedia,14,17,2
91,3504,Male,1,"After the trophy ceremony , Portuguese captain , Madjer , clarified his tears at the final whistle as "" farewell tears "" ; he announced his retirement from international beach soccer , aged 42 , bringing to an end a 22 year playing career , having claimed eleven individual awards at FIFA editions of the World Cup , as well as being by far the tournament 's all - time top scorer with 88 goals and a total of 140 since the 1995 establishment of a world championship for beach soccer .",captain,his,11,6,1,wikipedia,21,5,3
92,170183,Female,1,"Ruth Vincent ( 22 March 1877 â€“ 4 July 1955 ) was an English opera singer and actress , best remembered for her performances in soprano roles of the Savoy Operas with the D'Oyly Carte Opera Company in the 1890s and her roles in the West End during the first decade of the 20th century , particularly her role as Sophia in "" Tom Jones "" .",singer,her,41,15,-1,wikipedia,20,26,3
93,93626,Male,1,"The priest believes that he can straighten him out , but Takezo escapes with Otsu ' s help .",priest,he,4,1,1,wikipedia,4,3,1
95,254661,Male,1,This rule is based on public policy and the sense that it is improper to make a person serve another against his will .,person,his,22,17,-1,wikipedia,14,5,1
96,138098,Male,1,"Turk administers the treatment and later the patient moves his index finger , indicating that the treatment has worked , and Carla is proud of him , despite her anger after finding out Turk found out about the treatment from "" SportsCenter . """,patient,his,9,7,0,wikipedia,21,2,2
97,58253,Male,1,"According to Jones , the chief spared his life when he heard Jones speak Welsh , a tongue he understood .",chief,his,7,5,1,wikipedia,21,2,3
98,94388,Male,1,"This student shared fully the method of investigation , the distrust of the sterile disputes of philosophers over the Alps , and he argued the need to read the classics in bare text , without the use of exegetical apparatus .",student,he,22,1,-1,wikipedia,11,21,1
99,112839,Female,1,"Additionally , according to Thompson , the director became "" deeply hurt and confused "" when she and Grant made suggestions for certain scenes , which was something that was not done in his native country .",director,she,16,7,-1,wikipedia,16,9,2
100,240213,Male,1,"Sonny and Viti visit a clinic for a sonogram , but leave abruptly when they realize the guard they attacked died of his injuries .",guard,his,22,17,1,wikipedia,14,5,1
101,1461,Male,1,"The Times "" also speculated that the incident might lead to a fast - tracked global deployment of the Additional Assistant Referee ( AAR ) system already under trial by FIFA , pointing out that under the trial configuration , the extra goal - line assistant would have been standing directly in front of Henry as he touched the ball with his hand .",assistant,he,56,45,-1,wikipedia,16,11,2
102,27463,Male,1,The employees were shocked that a world - renowned scientist would voluntarily bring himself to the office .,scientist,himself,13,9,1,wikipedia,3,4,1
103,110260,Male,1,The judge has always had a love / hate relationship with the government as he is always unpredictable in his judgment .,judge,he,14,1,1,wikipedia,16,13,2
104,35111,Male,1,"The eleventh contains the lives of all the bishops in order , and includes the chief events during their episcopates ; the twelfth deals in the same way with the archbishops , not forgetting the writer himself .",writer,himself,36,35,-1,wikipedia,10,1,1
106,40681,Male,1,"Another factor in the success of the record may have been the rumor that the lyrics were intentionally slurred by the Kingsmen â€” to cover up the alleged fact that the lyrics were laced with profanity , graphically depicting sex between the sailor and his lady .",sailor,his,44,42,1,wikipedia,20,2,1
107,64070,Male,1,"OÅ›wiÄ™cim , on the estate of his maternal grandparents , the youngest of three children of Warsaw architect , ZdzisÅ‚aw Silewicz and his wife Stefania nÃ©e Zwilling .",architect,his,22,17,1,wikipedia,20,5,2
108,23099,Male,1,Hermans would later say that the public announcer had aided Dhaenens ' victory by warning him of Hermans over the PA system .,announcer,him,15,7,1,wikipedia,13,8,0
109,227523,Female,1,"In 2012 Branson was given an honorary Doctor of Laws by Flinders University , for her ' long and esteemed career in the law ' and an Honorary Doctorate of Letters from Macquarie University for her support and advocacy for human rights .",doctor,her,15,7,-1,wikipedia,6,8,2
110,3552,Male,1,"Lake Daumesnil in Paris had frozen over and director Louis Gasnier filmed Linder in his new attire , with Linder improvising the rest .",director,his,14,8,1,wikipedia,15,6,1
111,20732,Female,1,"Fandemonium 's company runner and chief editor , Sally Malcolm , started out as a fanfic writer herself .",writer,herself,17,16,1,wikipedia,10,1,1
112,54281,Male,1,"On October 27 , 2014 , moobahton producer and DJ Dillon Francis released his debut album "" Money Sucks , Friends Rule "" on Columbia Records , with Elise featured on "" Hurricane "" , the 12th and final track on the record .",producer,his,13,7,1,wikipedia,21,6,1
116,30691,Male,1,The author started his career as an anatomical pathologist and now works as an anatomical and clinical pathologist .,author,his,3,1,-1,pubmed,17,2,1
117,8247,Male,1,"Currently , 6 years later the patient is free of local disease , but he presents cutaneous metastasis .",patient,he,14,6,0,pubmed,11,8,1
121,8047,Male,1,The author was the son of a Polish Jewish family murdered by the Nazis and he based the story on a Hebrew legend .,author,he,15,1,-1,wikipedia,11,14,1
123,54418,Male,1,"His sponsors highlighted not only why he was a Â remarkable author , but also his national socialist links during the 1930s .",author,his,15,11,-1,pubmed,20,4,3
125,105021,Male,1,"The author of GNU.FREE has publicly discontinued his work on the project , due to disillusionment with the concept of secure Internet voting .",author,his,7,1,-1,wikipedia,21,6,1
126,23904,Male,1,"This patient and his other affected family members , his father and two siblings , were started on the tumour screening procedures recommended for patients with PTEN mutations .",patient,his,9,1,0,pubmed,20,8,2
128,54047,Male,1,"It was necessary to persist beyond initial verbal descriptions of their hallucinations , and insist that the patient describe and draw what he had seen .",patient,he,22,17,0,wikipedia,4,5,1
129,35950,Male,1,"Mr. Whitney was chosen its president , and continued in office until his death , in 1883 .",president,his,14,7,1,perseus,6,7,1
130,172359,Male,1,The French Impressionist painter Claude Monet is known for his many paintings of water lilies in the pond in his garden at Giverny .,painter,his,9,3,1,wikipedia,1,6,2
131,197455,Male,1,"At his trial in May 1989 , the magistrate dismissed the evidence of the Arab witnesses on the grounds that they were interested parties and wanted to see Levinger in prison for ideological reasons , and also dismissed the evidence of two IDF soldiers who testified to the assault .",magistrate,his,1,8,1,wikipedia,14,7,1
133,793,Male,1,Our patient is unique because he has symptomatic IGV and INCPH .,patient,he,5,1,0,pubmed,5,4,1
134,2218,Male,1,A 5-mg tablet of oxybutynin chloride was crushed and suspended in 10 ml of boiled and cooled water and instilled into the bladder after emptying it completely ; this was carried out thrice daily either by the patient or by his carer .,patient,his,40,37,0,pubmed,20,3,1
135,89667,Male,1,"The manager says that he had thought he had seen the worst when they bought about 200 copies of The Invisible Book of Invisibility , all of which cost a fortune and they never did find them .",manager,he,4,1,1,wikipedia,4,3,2
136,49582,Female,1,Symptomatic pneumonitis developed in six patients ( 9 % ) ; only one patient had her radiotherapy interrupted because of hematologic toxicity .,patient,her,15,13,0,pubmed,17,2,1
137,95475,Male,1,"If , for example , the agent is engaged to buy property , the agent may not sell his own property to the principal .",agent,his,18,14,-1,wikipedia,21,4,1
138,28851,Male,1,"During the court proceedings , a cab driver testified that he had picked up Kosilek from that same mall , on that same afternoon , and had driven Kosilek to a store located about half a mile from her house in Mansfield .",driver,he,10,7,1,wikipedia,4,3,2
139,15338,Male,1,"At his press conference , Durocher emphatically ended the College of Coaches experiment by declaring himself manager , with Wrigley 's blessing .",manager,himself,15,16,1,wikipedia,10,1,2
140,8351,Male,1,"The author describes how he improves comfort in patients receiving Thermage with a combination of topical lidocaine 5 % cream and mesoanesthesia , a technique involving multiple tiny intradermal injections of anesthetic solution .",author,he,4,1,-1,pubmed,4,3,1
141,49006,Female,1,"After receiving encouragement from her naturopathic doctor , the patient initiated an 8-week program in mindfulness training following the Kabat-Zinn protocol and logged her daily blood pressure and symptoms before and after meditation sessions over an 11-week period .",patient,her,23,9,0,pubmed,17,14,2
142,130623,Male,1,"Sadat served as president until his assassination in October 1981 , after which his vice president , Hosni Mubarak , was elected president by plebiscite .",president,his,5,15,1,wikipedia,1,10,2
143,8569,Male,1,"The rich oeuvre of this period comprises a series of gorgeous portraits of Kupecky 's family , friends and the painter himself , as well as several persons , whose identity in unknown .",painter,himself,21,20,1,wikipedia,10,1,1
144,141798,Male,1,"However , the managing director of Rabaul Shipping , Peter Sharp , had directed his captains to carry 350 passengers and the ship "" routinely "" took aboard passengers in excess of 295 .",director,his,14,4,1,wikipedia,21,10,1
145,18806,Male,1,"Of his production techniques , journalist Derek Walmsley wrote in "" The Wire "" :",journalist,his,1,5,-1,wikipedia,15,4,1
146,105388,Male,1,"On Saturday , November 18 , 2006 , an off duty United States Secret Service agent was at the mall when he witnessed a fight in progress in the food court .",agent,he,21,15,-1,wikipedia,16,6,1
147,1913,Female,1,"At the end of this follow-up period , the patient was satisfied with esthetics , function and phonation properties of her prostheses .",patient,her,20,9,0,pubmed,14,11,1
148,16924,Male,1,"He cited G&J para 1 - 019 to say that if a reasonable person ought to have known that someone would have expected payment , but did not take a reasonable opportunity to reject them , then he will be considered enriched .",person,he,37,13,-1,wikipedia,12,24,1
149,49411,Male,1,During this time there was public support for McGonagle and a high profile threats were made to withdraw collections and funding from the gallery should the director lose his position .,director,his,28,26,1,wikipedia,21,2,1
150,149322,Female,1,"An excellent teacher , Dykes won a number of teaching awards during her 15 years of service at Howard University .",teacher,her,12,2,1,wikipedia,14,10,1
151,35771,Male,1,Gerhart Panning ( 1900 - 1944 ) : a German forensic pathologist and his involvement in Nazi crimes during Second World War .,pathologist,his,13,11,-1,pubmed,20,2,1
152,51653,Male,1,"His outstanding achievement of the use of flux and reflux theories in nephropathy in pregnancy , such as the neuro-hypophysis overfunction theory , was further strengthened by the great physician Nicola Pende .",physician,His,0,29,1,pubmed,17,29,1
153,69238,Female,1,The artist maintained an humble attitude vis - Ã - vis her artworks and her public .,artist,her,11,1,-1,wikipedia,14,10,2
154,29834,Female,1,Doctor confirms that she has an incurable disease in her nerves and she will go blind sooner or later .,doctor,she,3,0,-1,wikipedia,4,3,3
155,49845,Male,1,Sam calls upon Daffy Duck to recover his awards and deal with the mad professor and his henchmen .,professor,his,16,14,1,wikipedia,20,2,2
